Marketing Projects Record ID#,Page Name,Page Type,Website,Customer Name,Project Manager,Marketing Project Status,Content Launch Date,Content Status,Content URL,Link Goal,Assign to UPSELL,Projected UPSELL Conversion %,Assign to RMI,Projected RMI Conversion %,Assign to CS,Projected CS Conversion %,# UPSELL ULDs Req. For CF,# RMI ULDs Req. For CF,# CS ULDs Req. For CF,# of Total ULDs Req. For CF,# of UPSELL Contacts Req. For EM,# of RMI Contacts Req. For EM,# of CS Contacts Req. For EM,# of Total Contacts Req. For EM,# of ULDs Available For Re-Harvest,# of Emails Available For Re-Harvest,# of Emails Available For Resend,# ULDs From Resend (Estimate),CF Status,CF Projected Start Date,CF Projected Completion Date,Total UPSELL ULDs Sent to CF (Queued),# of UPSELL ULDs (Deficit) Overage,Total RMI ULDs Sent To CF (Queued),# of RMI ULDs (Deficit) Overage,Total CS ULDs Sent To CF (Queued),# of CS ULDs (Deficit) Overage,Total ULDs Sent to CF (Queued),Total Queued ULDs (Deficit) or Overage,Total UPSELL Contacts Harvested,# of UPSELL Contacts (Deficit) Overage,Total RMI Contacts Harvested,# of RMI Contacts (Deficit) Overage,Total CS Contact Harvested,# of CS Contacts (Deficit) Overage,Total Contacts Harvested,Total Contacts (Deficit) Overage,Email Marketing Status (UPSELL),Email Marketing Projected Send Date (UPSELL),Email Marketing Actual Send Date (UPSELL),Email Marketing Status (RMI & CS),Email Marketing Projected Send Date (RMI & CS),Email Marketing Actual Send Date (RMI & CS), # UPSELL Email Sent,# of UPSELL Email Not Sent,# RMI Email Sent,# of RMI Email Not Sent,# CS Email Sent,# of CS Email Not Sent,Total # Email Sent,Total # Email Not Sent,# of Initiatives,Total # of Links Built,Links,Total Days Overdue,Add Initiative,Actual Conversion % (All Initiatives),UPSELL - Minimum Email Marketing Actual Send Out Date,RMI - Minimum Email Marketing Actual Send Out Date,Campaign - Cleaned For Email Marketing (# of Contacts for EM),Campaign - Actual ULD's (Post Filters),Average Projected Conversion % - To Date,Total Performance - Links Builts Vs. Projected to Date,Total Campaign - Total Projected Links From Email Sent,Total ULD Built
782,Life Insurance Companies,TSD High Value,TheSimpleDollar.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.thesimpledollar.com/best-life-insurance-companies/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,Complete,02-01-2016,02-05-2016,0,0,2276,-390.66666666667,0,0,2276,-390.66666666667,0,0,"1,564",82.518518518518,0,0,"1,564",82.518518518518,Not Planned,,,In-Progress,,02-11-2016,,0,1261,303,,0,1261,303,1,5,782,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=782&_fid_8=01-04-2016&z=ip6,0.39651070578906%,,02-11-2016,1564,1368,0.733425%,-4.24848925,9.4575,3
783,How To Become an Interior Designer,Vertical Review,Freshome.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,http://freshome.com/2014/10/13/10-things-you-should-know-about-becoming-an-interior-designer/,0,0,40%,0,0.75%,0,1.5%,0,0,0,0,0,0,0,0,0,,0,0,Complete,,,0,0,"22,059","22,059",0,0,"22,059","22,059",0,0,"1,324","1,324",0,0,"1,324","1,324",Not Planned,,,Not Planned,,,,0,0,1324,,0,0,"1,324",1,0,783,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=783&_fid_8=01-04-2016&z=ip6,,,,1324,2525,,0,0,0
784,Life Insurance,TSD High Value,TheSimpleDollar.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.thesimpledollar.com/cheap-life-insurance/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,In-Progress,02-08-2016,02-12-2016,0,0,"37,009","34,342.333333333",0,0,"37,009","34,342.333333333",0,0,"1,141",-340.48148148148,0,0,"1,141",-340.48148148148,Not Planned,,,In-Progress,,02-19-2016,,0,898,243,,0,898,243,1,1,784,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=784&_fid_8=01-04-2016&z=ip6,0.11135857461024%,,02-19-2016,3379,6413,0.73095%,-5.563931,6.735,1
785,High Interest Savings Accounts,TSD High Value,TheSimpleDollar.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.thesimpledollar.com/best-high-interest-savings-accounts/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,Complete,02-08-2016,02-12-2016,0,0,"159,162","156,495.33333333",0,0,"159,162","156,495.33333333",0,0,"1,563",81.518518518518,0,0,"1,563",81.518518518518,Not Planned,,,In-Progress,,02-19-2016,,0,1293,270,,0,1293,270,1,2,785,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=785&_fid_8=01-04-2016&z=ip6,0.15467904098995%,,02-19-2016,4624,8861,0.73095%,-7.4511835,9.6975,2
786,Online Stock Brokers,TSD High Value,TheSimpleDollar.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.thesimpledollar.com/best-online-stock-trading-brokers/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,Complete,02-08-2016,02-12-2016,0,0,"226,612","223,945.33333333",0,0,"226,612","223,945.33333333",0,0,"2,771","1,289.5185185185",0,0,"2,771","1,289.5185185185",Not Planned,,,Complete,,02-19-2016,,0,1568,1203,,0,1568,"1,203",1,4,786,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=786&_fid_8=01-04-2016&z=ip6,0.25510204081633%,,02-19-2016,2856,7377,0.73095%,-7.461296,11.76,3
787,Home Equity Loan Rates,TSD High Value,TheSimpleDollar.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.thesimpledollar.com/best-home-equity-loan-rates/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,Complete,02-01-2016,02-05-2016,0,0,"67,555","64,888.333333333",0,0,"67,555","64,888.333333333",0,0,"1,506",24.518518518518,0,0,"1,506",24.518518518518,Not Planned,,,In-Progress,,02-11-2016,,0,1435,71,,0,1435,71,1,3,787,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=787&_fid_8=01-04-2016&z=ip6,0.20905923344948%,,02-11-2016,3010,2530,0.733425%,-7.52464875,10.7625,3
788,Business Credit Cards,TSD High Value,TheSimpleDollar.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.thesimpledollar.com/best-business-credit-cards/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,Complete,02-15-2016,02-19-2016,0,0,"14,670","12,003.333333333",0,0,"14,670","12,003.333333333",0,0,"4,360","2,878.5185185185",0,0,"4,360","2,878.5185185185",Not Planned,,,Complete,,02-25-2016,,0,3957,403,,0,3957,403,1,3,788,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=788&_fid_8=01-04-2016&z=ip6,0.075815011372252%,,02-25-2016,9142,2251,0.730125%,-25.89104625,29.6775,3
789,Savings Accounts,TSD High Value,TheSimpleDollar.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.thesimpledollar.com/best-savings-account/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,Complete,02-15-2016,02-19-2016,0,0,"145,600","142,933.33333333",0,0,"145,600","142,933.33333333",0,0,"1,990",508.51851851852,0,0,"1,990",508.51851851852,Not Planned,,,In-Progress,,02-25-2016,,0,1291,699,,0,1291,699,1,5,789,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=789&_fid_8=01-04-2016&z=ip6,0.38729666924864%,,02-25-2016,3668,5906,0.730125%,-4.42591375,9.6825,4
790,Student Credit Cards,TSD High Value,TheSimpleDollar.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.thesimpledollar.com/best-student-credit-cards/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,In-Progress,02-01-2016,02-05-2016,0,0,"12,440",9773.3333333333,0,0,"12,440",9773.3333333333,0,0,"1,454",-27.481481481482,0,0,"1,454",-27.481481481482,Not Planned,,,In-Progress,,02-11-2016,,0,1350,104,,0,1350,104,1,2,790,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=790&_fid_8=01-04-2016&z=ip6,0.14814814814815%,,02-11-2016,2909,2618,0.733425%,-7.9012375,10.125,2
791,Bad Credit Credit Cards,TSD High Value,TheSimpleDollar.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.thesimpledollar.com/best-credit-cards-for-bad-credit/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,Complete,02-22-2016,02-26-2016,0,0,"73,500","70,833.333333333",0,0,"73,500","70,833.333333333",0,0,"2,503","1,021.5185185185",0,0,"2,503","1,021.5185185185",Not Planned,,,Not Started,,,,0,0,2503,,0,0,"2,503",1,0,791,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=791&_fid_8=01-04-2016&z=ip6,,,,2503,8809,,0,0,0
792,Car Insurance,TSD High Value,TheSimpleDollar.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.thesimpledollar.com/best-car-insurance-companies/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,Complete,02-22-2016,02-26-2016,0,0,"11,040",8373.3333333333,0,0,"11,040",8373.3333333333,0,0,"1,743",261.51851851852,0,0,"1,743",261.51851851852,Not Planned,,,Not Started,,,,0,0,1743,,0,0,"1,743",1,0,792,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=792&_fid_8=01-04-2016&z=ip6,,,,1743,3286,,0,0,0
793,Best Credit Cards,TSD High Value,TheSimpleDollar.com,Soda,Nam Phan <58705208.c6ap>,In-Progress,01-04-2016,Complete,www.thesimpledollar.com/best-credit-cards/,20,0,40%,20,0.2%,0,1.5%,0,"20,000",0,"20,000",0,"11,111.111111111",0,"11,111.111111111",0,,0,0,Complete,06-08-2016,06-15-2016,0,0,"600,629","580,629",0,0,"600,629","580,629",0,0,"14,445","3,333.8888888889",0,0,"14,445","3,333.8888888889",Not Planned,,,In-Progress,,08-05-2016,,0,1970,"12,475",,0,1970,"12,475",1,5,793,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=793&_fid_8=01-04-2016&z=ip6,0.25380710659898%,,08-05-2016,"16,348","37,415",0.15906%,1.866518,3.94,5
794,V2 Auto Insurance,Vertical Review,Reviews.com,Soda,Nam Phan <58705208.c6ap>,In-Progress,01-04-2016,Complete,www.reviews.com/auto-insurance/,20,0,40%,20,0.2%,0,1.5%,0,"20,000",0,"20,000",0,"11,111.111111111",0,"11,111.111111111",0,,0,0,In-Progress,06-13-2016,06-27-2016,0,0,"455,476","435,476",0,0,"455,476","435,476",0,0,"8,731","-2,380.1111111111",0,0,"8,731","-2,380.1111111111",Not Planned,,,In-Progress,,06-30-2016,,0,2168,6563,,0,2168,"6,563",1,8,794,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=794&_fid_8=01-04-2016&z=ip6,0.3690036900369%,,06-30-2016,"11,490","20,765",0.17392%,4.2294144,4.336,8
795,Medical Alert Systems,Vertical Review,Reviews.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.reviews.com/medical-alert-systems/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,Complete,02-29-2016,03-04-2016,0,0,"34,730","32,063.333333333",0,0,"34,730","32,063.333333333",0,0,"9,310","7,828.5185185185",0,0,"9,310","7,828.5185185185",Not Planned,,,Complete,,03-09-2016,,0,5822,3488,,0,5822,"3,488",1,36,795,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=795&_fid_8=01-04-2016&z=ip6,0.61834421161113%,,03-09-2016,"10,300",5898,0.72735%,-6.346317,43.665,34
796,Treadmills,Vertical Review,Reviews.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.reviews.com/treadmills/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,Complete,02-29-2016,03-04-2016,0,0,"226,273","223,606.33333333",0,0,"226,273","223,606.33333333",0,0,"10,334","8,852.5185185185",0,0,"10,334","8,852.5185185185",Not Planned,,,Complete,,03-17-2016,,0,6108,4226,,0,6108,"4,226",1,28,796,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=796&_fid_8=01-04-2016&z=ip6,0.45841519318926%,,03-17-2016,"17,518","19,755",0.724425%,-16.247879,45.81,26
797,Home Owner Insurance,Vertical Review,Reviews.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.reviews.com/homeowners-insurance/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,Complete,02-29-2016,03-04-2016,0,0,"18,626","15,959.333333333",0,0,"18,626","15,959.333333333",0,0,"4,495","3,013.5185185185",0,0,"4,495","3,013.5185185185",Not Planned,,,Complete,,03-17-2016,,0,2568,1927,,0,2568,"1,927",1,9,797,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=797&_fid_8=01-04-2016&z=ip6,0.35046728971963%,,03-17-2016,4495,4689,0.724425%,-9.603234,19.26,9
798,V2 Web Hosting,Vertical Review,Reviews.com,Soda,Nam Phan <58705208.c6ap>,In-Progress,01-04-2016,Complete,www.reviews.com/web-hosting/,20,0,40%,20,0.2%,0,1.5%,0,"20,000",0,"20,000",0,"11,111.111111111",0,"11,111.111111111",0,,0,0,In-Progress,05-25-2016,06-08-2016,0,0,"380,097","360,097",0,0,"380,097","360,097",0,0,"5,758","-5,353.1111111111",0,0,"5,758","-5,353.1111111111",Not Planned,,,In-Progress,,06-17-2016,,0,4153,1605,,0,4153,"1,605",1,30,798,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=798&_fid_8=01-04-2016&z=ip6,0.72236937153865%,,06-17-2016,"10,448","16,076",0.17620549963882%,22.6821856,8.306,25
800,V2 Affordable Online Colleges,TSD High Value,TheSimpleDollar.com,Soda,DONNIE DINH <58705085.b9qm>,In-Progress,01-04-2016,Complete,www.thesimpledollar.com/affordable-online-colleges/,20,0,40%,20,0.2%,0,1.5%,0,"20,000",0,"20,000",0,"11,111.111111111",0,"11,111.111111111",0,,0,0,Complete,05-09-2016,05-23-2016,0,0,"174,611","154,611",0,0,"174,611","154,611",0,0,"34,592","23,480.888888889",0,0,"34,592","23,480.888888889",Not Planned,,,Complete,,05-12-2016,,0,"30,014",4578,,0,"30,014","4,578",1,140,800,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=800&_fid_8=01-04-2016&z=ip6,0.46644899047111%,,05-12-2016,"51,325","29,569",0.13711846071833%,98.8452652,60.028,94
801,V2 Home Security Systems,Vertical Review,Reviews.com,Soda,Nam Phan <58705208.c6ap>,In-Progress,01-04-2016,Complete,www.reviews.com/home-security-systems/,20,0,40%,20,0.2%,0,1.5%,0,"20,000",0,"20,000",0,"11,111.111111111",0,"11,111.111111111",0,,0,0,In-Progress,06-20-2016,07-06-2016,0,0,"11,757",-8243,0,0,"11,757",-8243,0,0,"4,688","-6,423.1111111111",0,0,"4,688","-6,423.1111111111",Not Planned,,,Not Started,,,,0,0,4688,,0,0,"4,688",1,0,801,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=801&_fid_8=01-04-2016&z=ip6,,,,4688,6131,,0,0,0
804,Best High Interest Savings Accounts,TSD High Value,TheSimpleDollar.com,Soda,Nam Phan <58705208.c6ap>,In-Progress,01-04-2016,Complete,www.thesimpledollar.com/best-high-interest-savings-accounts/,20,0,40%,20,0.25%,0,1.5%,0,"16,000",0,"16,000",0,"8,888.8888888889",0,"8,888.8888888889",0,,0,0,In-Progress,07-08-2016,07-26-2016,0,0,"163,983","147,983",0,0,"163,983","147,983",0,0,"3,942","-4,946.8888888889",0,0,"3,942","-4,946.8888888889",Not Planned,,,In-Progress,,07-22-2016,,0,1418,2524,,0,1418,"2,524",1,4,804,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=804&_fid_8=01-04-2016&z=ip6,0.2820874471086%,,07-22-2016,3944,9836,0.20535%,1.088137,3.545,4
